Date,price_da,price_imbalance,Hour
2018-01-06,0.044,0.026465,10
2018-01-06,0.04374,0.03116,11
2018-01-06,0.04443,0.030947500000000003,12
2018-01-06,0.0429,0.0225225,13
2018-01-06,0.038700000000000005,0.0074125,14
2018-01-06,0.037399999999999996,0.0141625,15
2018-01-06,0.0424,0.0003725000000000005,16
2018-01-06,0.046380000000000005,0.0253125,17
2018-01-06,0.04998,0.031585,18
2018-01-06,0.045899999999999996,0.032170000000000004,19
2018-01-06,0.0409,0.026907499999999997,20
2018-01-06,0.03369,0.0295875,21
2018-01-06,0.03626,0.0179825,22
2018-01-06,0.02903,-0.021107499999999998,23
2018-01-07,0.02187,0.0132625,0
2018-01-07,0.01598,0.004945000000000002,1
2018-01-07,0.01599,-0.036172499999999996,2
2018-01-07,0.014,-0.006702500000000001,3
2018-01-07,0.01251,0.017505000000000003,4
2018-01-07,0.013210000000000001,0.0310125,5
2018-01-07,0.01217,0.0131375,6
2018-01-07,0.01302,-0.031642500000000004,7
2018-01-07,0.024460000000000003,-0.010555,8
2018-01-07,0.03,0.0351175,9
2018-01-07,0.02974,-0.0183225,10
2018-01-07,0.02991,0.027450000000000002,11
2018-01-07,0.02991,-0.03406,12
2018-01-07,0.0292,0.012745000000000001,13
2018-01-07,0.02923,-0.019882499999999997,14
2018-01-07,0.02957,0.0197575,15
2018-01-07,0.031,-0.0003900000000000006,16
2018-01-07,0.032490000000000005,0.0302575,17
2018-01-07,0.03434,0.0354225,18
2018-01-07,0.03233,0.032409999999999994,19
2018-01-07,0.03144,0.033375,20
2018-01-07,0.02894,0.016825000000000003,21
2018-01-07,0.02969,0.0308725,22
2018-01-07,0.027010000000000003,0.031552500000000004,23
2018-01-08,0.01891,0.0326525,0
2018-01-08,0.01515,0.037767499999999996,1
2018-01-08,0.01511,0.06582500000000001,2
2018-01-08,0.01342,0.02477,3
2018-01-08,0.01291,0.025145,4
2018-01-08,0.0171,0.0339825,5
2018-01-08,0.03003,0.02935,6
2018-01-08,0.04293,0.0361475,7
2018-01-08,0.044950000000000004,0.1255725,8
2018-01-08,0.046200000000000005,0.10842750000000001,9
2018-01-08,0.05,0.19484,10
2018-01-08,0.05953,0.1696275,11
2018-01-08,0.0438,0.061252499999999994,12
2018-01-08,0.044,0.17945499999999998,13
2018-01-08,0.04661,0.09112,14
2018-01-08,0.04097,0.1428625,15
2018-01-08,0.05131,0.036182500000000006,16
2018-01-08,0.06486,0.10066249999999999,17
2018-01-08,0.0375,0.04481,18
2018-01-08,0.036,0.04319,19
2018-01-08,0.04215,0.05972,20
2018-01-08,0.0359,0.039994999999999996,21
2018-01-08,0.033,0.038355,22
2018-01-08,0.03,0.036614999999999995,23
2018-01-09,0.0351,0.04475,0
2018-01-09,0.0344,0.029840000000000002,1
2018-01-09,0.0342,0.038729999999999994,2
2018-01-09,0.0343,0.06775500000000001,3
2018-01-09,0.030100000000000002,0.0926375,4
2018-01-09,0.0365,0.003329999999999995,5
2018-01-09,0.0415,0.31427,6
2018-01-09,0.05,0.192105,7
2018-01-09,0.04,0.06239499999999999,8
2018-01-09,0.0479,0.20038,9
2018-01-09,0.052700000000000004,0.005324999999999994,10
2018-01-09,0.06092,0.05654,11
2018-01-09,0.0559,0.03136,12
2018-01-09,0.05966,0.04199,13
2018-01-09,0.05553,0.035355000000000004,14
2018-01-09,0.052700000000000004,0.032982500000000005,15
2018-01-09,0.05484000000000001,0.0388675,16
2018-01-09,0.07659,0.10959,17
2018-01-09,0.04291,0.0181525,18
2018-01-09,0.040979999999999996,0.0297525,19
2018-01-09,0.0409,0.02565,20
2018-01-09,0.04291,0.063515,21
2018-01-09,0.03936,0.0405125,22
2018-01-09,0.0396,0.028127499999999996,23
2018-01-10,0.0344,0.02295,0
2018-01-10,0.03,0.031795000000000004,1
