date,radiation,key,minutes,error,panel_size,correction_factor,conversion_factor,n_panels,total_volume
2020-01-18 09:00:00,158.7269368311877,4,90,4.142954305544866,937.2,3.6,2.7800000000000003e-07,80,0.04652434134573365
2020-01-18 10:00:00,228.67135935741382,4,90,4.120204673106556,937.2,3.6,2.7800000000000003e-07,80,0.06702570207130001
2020-01-18 11:00:00,248.65569989008338,4,90,4.039077358620645,937.2,3.6,2.7800000000000003e-07,80,0.07288329813579242
2020-01-18 12:00:00,255.76613871221795,4,90,4.116959979271114,937.2,3.6,2.7800000000000003e-07,80,0.07496743388164111
2020-01-18 13:00:00,217.23738113394836,4,90,4.046330731249329,937.2,3.6,2.7800000000000003e-07,80,0.0636742967180048
2020-01-18 14:00:00,123.20955009832065,4,90,4.04380061861155,937.2,3.6,2.7800000000000003e-07,80,0.03611386498263369
2020-01-18 15:00:00,32.691256621803134,4,90,4.11858351140827,937.2,3.6,2.7800000000000003e-07,80,0.009582111344537082
2020-01-18 16:00:00,0.0,4,90,3.9290483708305275,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 17:00:00,0.0,4,90,4.0705552229613,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 18:00:00,0.0,4,90,3.9795069081646517,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 19:00:00,0.0,4,90,3.930580983873175,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 20:00:00,0.0,4,90,4.025135797050375,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 21:00:00,0.0,4,90,3.8328420754916106,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 22:00:00,0.0,4,90,4.012090412602335,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-18 23:00:00,0.0,4,90,3.875955938666708,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 00:00:00,0.0,4,90,4.074745734285328,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 01:00:00,0.0,4,90,4.048389401457612,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 02:00:00,0.0,4,90,4.078095568534074,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 03:00:00,0.0,4,90,3.9577841523042,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 04:00:00,0.0,4,90,4.081866321531847,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 05:00:00,0.0,4,90,3.901421680729486,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 06:00:00,0.0,4,90,3.892553892171925,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 07:00:00,4.852844342626399,4,90,3.9818209990780717,937.2,3.6,2.7800000000000003e-07,80,0.001422413808276184
2020-01-19 08:00:00,65.08857275315766,4,90,3.967303482097229,937.2,3.6,2.7800000000000003e-07,80,0.019078065997677113
2020-01-19 09:00:00,169.744619669389,4,90,3.933256936582511,937.2,3.6,2.7800000000000003e-07,80,0.04975372665006084
2020-01-19 10:00:00,285.3673477358635,4,90,4.02279961565975,937.2,3.6,2.7800000000000003e-07,80,0.08364382353771553
2020-01-19 11:00:00,336.1954822405901,4,90,3.9683716088892966,937.2,3.6,2.7800000000000003e-07,80,0.09854202246270177
2020-01-19 12:00:00,303.13446934651427,4,90,3.8265495144333164,937.2,3.6,2.7800000000000003e-07,80,0.08885153211602825
2020-01-19 13:00:00,239.56676654780756,4,90,3.8894655147284842,937.2,3.6,2.7800000000000003e-07,80,0.07021924724609128
2020-01-19 14:00:00,140.8599307417522,4,90,3.9401379228462154,937.2,3.6,2.7800000000000003e-07,80,0.04128735569776347
2020-01-19 15:00:00,38.18171999461836,4,90,4.045745164992675,937.2,3.6,2.7800000000000003e-07,80,0.011191417220418592
2020-01-19 16:00:00,0.0,4,90,3.933209296239844,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 17:00:00,0.0,4,90,3.971116909948442,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 18:00:00,0.0,4,90,3.9534055501416896,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 19:00:00,0.0,4,90,3.877334197210887,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 20:00:00,0.0,4,90,3.9822210891251606,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 21:00:00,0.0,4,90,3.9585682788474092,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 22:00:00,0.0,4,90,3.9636581426355426,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-19 23:00:00,0.0,4,90,3.9473888816443856,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 00:00:00,0.0,4,90,4.0153366921511315,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 01:00:00,0.0,4,90,4.044585790581607,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 02:00:00,0.0,4,90,3.9353032339416125,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 03:00:00,0.0,4,90,3.9776990109462527,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 04:00:00,0.0,4,90,4.0662421798087,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 05:00:00,0.0,4,90,3.914227186003626,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 06:00:00,0.0,4,90,3.901156282665581,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 07:00:00,6.277249567813995,4,90,4.017439723400957,937.2,3.6,2.7800000000000003e-07,80,0.0018399202267472626
2020-01-20 08:00:00,51.04531625387449,4,90,4.033210173145639,937.2,3.6,2.7800000000000003e-07,80,0.014961856915451774
2020-01-20 09:00:00,109.76227842542303,4,90,3.9598567188427696,937.2,3.6,2.7800000000000003e-07,80,0.032172344595680843
2020-01-20 10:00:00,171.15981540410417,4,90,4.193808646961204,937.2,3.6,2.7800000000000003e-07,80,0.05016853368122619
